frame,person,KP_0_x,KP_0_y,KP_1_x,KP_1_y,KP_2_x,KP_2_y,KP_3_x,KP_3_y,KP_4_x,KP_4_y,KP_5_x,KP_5_y,KP_6_x,KP_6_y,KP_16_x,KP_16_y
151,1,435.283,135.786,328.895,186.827,264.507,195.73,306.633,357.611,437.574,310.983,399.77,180.199,384.288,306.587,0,0
152,1,433.08,140.237,328.871,186.824,262.272,193.534,308.806,357.658,444.2,306.611,399.864,182.355,379.868,308.797,428.606,129.118
153,1,432.986,144.731,326.661,186.946,262.245,197.882,308.896,357.617,446.377,306.576,397.642,184.585,379.896,308.899,0,0
154,1,430.867,146.928,328.811,189.053,260.106,195.726,311.035,355.471,448.592,306.627,399.83,184.635,388.724,304.402,428.644,131.477
155,1,430.866,146.933,328.791,189.065,262.247,195.74,311.148,355.432,450.846,308.752,399.798,184.654,390.931,308.819,428.637,131.478
156,1,430.818,146.928,328.834,189.051,262.272,195.69,311.186,353.252,450.798,311.018,399.802,186.767,388.732,308.852,426.437,131.479
157,1,430.866,146.907,328.858,186.901,264.461,193.484,313.342,353.234,450.901,311.073,399.783,184.594,395.33,308.799,428.626,131.441
158,1,430.907,146.931,328.841,186.889,262.252,193.471,315.523,353.252,450.904,311.129,399.818,184.544,395.379,306.636,430.791,131.435
159,1,432.972,149.019,328.88,186.895,264.491,193.479,317.694,353.238,453.082,311.104,399.763,184.589,395.351,306.629,0,0
160,1,433.001,149.033,328.915,186.889,264.487,193.488,317.692,353.24,453.098,311.129,399.823,184.559,395.325,306.589,0,0
161,1,433.007,149.03,328.915,186.879,264.497,193.503,317.691,353.261,453.108,311.127,399.803,184.529,395.336,306.6,0,0
162,1,433.086,149.049,331.046,186.866,266.672,193.472,317.709,355.394,453.071,311.143,399.843,184.523,395.362,306.584,432.971,131.457
163,1,433.104,149.079,331.008,186.855,266.677,193.486,315.563,355.414,453.114,313.248,399.808,182.407,397.511,304.439,432.991,131.462
164,1,433.138,149.157,331.022,186.919,264.493,193.509,317.725,357.62,453.122,313.329,399.845,184.541,397.542,306.635,433.05,133.503
165,1,435.237,149.18,331.014,186.935,266.692,195.693,317.766,357.64,453.084,315.471,399.849,184.525,395.395,306.624,433.068,133.493
166,1,435.254,151.244,328.887,189.093,266.682,195.71,319.931,357.646,455.249,313.327,399.826,184.652,397.517,306.663,433.061,133.521
167,1,433.172,151.257,328.834,189.111,264.512,195.748,322.162,357.669,455.277,313.259,399.758,184.654,397.511,308.831,433.076,133.58
168,1,433.173,149.233,328.787,193.47,264.486,197.934,322.181,357.663,459.731,311.003,397.628,186.887,395.382,308.822,433.062,133.533
169,1,435.217,149.172,326.675,191.256,264.485,197.946,324.35,357.66,464.151,308.782,397.593,184.67,388.729,306.606,433.038,131.492
170,1,435.226,149.065,326.538,193.491,266.722,200.075,326.505,357.629,461.897,308.794,386.524,189.116,388.69,306.623,432.972,131.438
171,1,435.221,146.934,326.61,191.277,266.696,200.116,326.61,357.601,468.509,308.74,393.166,184.685,390.926,297.783,432.975,131.407
172,1,433.15,146.949,326.629,195.674,268.893,202.274,328.775,355.409,466.338,308.785,395.297,186.925,393.11,306.564,432.969,131.373
173,1,433.154,146.958,326.598,193.518,266.72,200.167,328.783,355.417,466.34,308.79,393.134,189.028,390.943,306.584,432.977,131.386
174,1,433.115,144.729,326.642,189.095,268.95,200.153,331.003,355.415,464.14,306.655,395.332,184.587,386.5,302.184,430.834,131.284
175,1,433.147,144.703,326.536,191.282,268.882,200.154,337.649,353.248,468.532,295.588,390.93,184.675,384.24,302.184,430.835,131.269
176,1,433.138,142.458,328.761,189.09,268.883,200.172,344.273,353.182,464.161,277.795,397.518,182.389,397.503,297.805,426.469,129.129
177,1,433.081,144.636,326.652,189.059,266.73,202.315,346.486,351.047,459.707,273.244,397.493,177.985,410.895,282.218,424.192,129.13
178,1,433.073,142.443,328.758,186.933,268.893,202.305,346.657,350.99,459.683,264.468,397.499,175.756,413.115,277.833,422.023,126.953
179,1,433.105,142.466,326.64,189.041,264.509,202.316,348.763,348.836,455.308,260.101,397.49,177.947,415.339,284.435,424.217,126.899
180,1,433.098,142.475,326.638,186.91,264.498,200.179,350.961,348.801,455.302,257.87,395.402,175.766,415.334,275.624,424.214,126.936
181,1,433.109,142.496,326.606,189.028,262.299,202.314,351.008,348.832,453.105,257.908,395.399,175.78,415.235,280.059,422.034,129.071
182,1,433.08,146.829,326.625,189.101,262.246,202.294,353.179,348.854,453.098,257.849,397.607,182.372,415.287,280.027,422.056,129.158
